OrderId,City,CountryCode,PostalCode,StateOrRegion
702-3904389-4807417,Edmonton,CA,T5X 4T6,Alberta
702-8351319-0160259,Blackfalds,CA,T0M 0J0,Alberta
702-4666017-9180217,Edmonton,CA,T5R0M5,Alberta
701-3549675-9721017,Nisku,CA,T9E 7M4,Alberta
701-3942929-2969845,Winnipeg,CA,R2G 0N1,Manitoba
702-4478966-9815459,St Catharines,CA,L2N 6X1,Ontario
701-2494572-8833065,Merrickville,CA,K0G 1N0,Ontario
702-2853525-7015413,Bethany,CA,L0A 1A0,Ontario
701-4398132-8461046,Rouyn-Noranda,CA,J9Y 0H7,Quebec
701-2247934-6922649,North York,CA,M2H 1E9,Ontario
701-6774763-3119401,Fort St. John,CA,V1J 4A9,British Columbia
702-3642535-7236237,Etobicoke,CA,M8V 3G6,Ontario
702-9230846-4861827,Ajax,CA,L1S 4E5,Ontario
702-8829636-2218616,Kenora,CA,P9N 3K5,Ontario
701-8735903-5697804,Barrie,CA,L4N 9H6,Ontario
701-5485054-2664222,Kingsville,CA,N9Y 1J3,Ontario
701-9672037-2851428,Pierrefonds,CA,H8Y 3P2,Quebec
702-1977736-6812248,Squamish,CA,V8B 0C2,British Columbia
702-1695292-2258628,Verdun,CA,H4G 2R4,Quebec
701-3311682-5197027,Buck Lake,CA,T0C0T0,Alberta
702-3218139-1278601,Laval,CA,H7W 1Y7,QC
701-7316943-6225856,Hampden,CA,A0K 2Y0,Newfoundland
702-1033844-8509057,Ottawa,CA,K1Y3X8,Ontario
702-3420949-9505822,Tillsonburg,CA,N4G 4G8,Ontario
701-0024784-0020276,Roland,CA,R0G 1T0,MB
701-5121943-3390606,Abbotsford,CA,V2S4W4,BC
702-1989733-9346662,Edmonton,CA,T6W 1E9,Alberta
701-9877379-1615442,Freetown,CA,C0B 1M0,Prince Edward Island
701-4615540-3647458,Strathmore,CA,T1P 1Z1,Alberta
701-6521191-4242635,Waterloo,CA,N2T2T4,ON
702-9290830-7705027,Lindsay,CA,K9V 4R6,Ontario
701-7395089-2468222,High Prairie,CA,T0G 1E0,Alberta
702-6966870-9377006,Whitehorse,CA,Y1A 6B3,Yukon
702-0493871-8246649,Airdrie,CA,T4B 2W9,Alberta
702-7229052-1128256,Calgary,CA,T2E 5N8,Alberta
701-6299861-7055422,Shawinigan,CA,G9T5K5,QC
702-1647859-5503459,Brampton,CA,L6W 1G1,Ontario
701-9864332-2959406,Edmonton,CA,T6W 2A2,Alberta
701-3804203-4209000,Chilliwack,CA,V2P 8B8,BC
702-9519661-3342661,Red Deer,CA,T4N 5G1,Alberta
702-4822440-1120209,Langton,CA,N0E 1G0,ON
702-7102467-1925037,Surrey,CA,V3S 1R8,BC
702-1499732-6961010,Forest,CA,N0N 1J0,Ontario
701-1730384-7887422,Richmond,CA,V6Y 1K3,British Columbia
701-3520741-3823449,Vavenby,CA,V0E 3A0,BC
701-5372995-4547464,NORTH VANCOUVER,CA,V7P 1T0,BC
702-3353221-5388241,Dollard-Des-Ormeaux,CA,H9G 1W4,Quebec
701-6292300-3849853,St. Thomas,CA,N5R 4Y8,Ontario
701-3573298-5121063,Rimouski,CA,G5L 1W6,Quebec
702-1373471-4245801,Glencairn,CA,L0M 1K0,Ontario
701-0684694-8659426,Vancouver,CA,V6Z 3A4,British Columbia
701-1846887-9567459,Kleinburg,CA,L4H4H9,Ontario
701-9683488-2727444,La Crete,CA,T0H 2H0,Alberta
701-1560243-8481856,Moncton,CA,E1A 6P2,New Brunswick
702-8322839-3667456,Warman,CA,S0K 4S2,Saskatchewan
701-1748718-0777821,Salt Spring Island,CA,V8K 1X1,B. C.
701-6122994-5360226,Keewatin,CA,P0X 1C0,Ontario
702-9337593-7644257,Hanmer,CA,P3P 1B4,Ontario
701-9878936-9717804,Notre-Dame-Des-Prairies,CA,J6E 0V1,Quebec
701-0769105-7137822,Toronto,CA,M6S 1N6,ON
701-8233798-8937852,Sault Ste. Marie,CA,P6C 2R3,Ontario
702-2899471-4517053,Regina,CA,S4S 5L4,SK
701-6177689-1315413,Keswick,CA,L4P 4A2,Ontario
701-9692382-4057816,Crowes Mills,CA,B6L 5J3,Nova Scotia
702-1204285-8018617,PORT COQUITLAM,CA,V3B 7R2,BC
701-4810225-4397042,Barrie,CA,L4N 8S8,Ontario
701-6059300-6700261,Wawa,CA,P0S1K0,ON
701-1402092-6229817,Lloydminster,CA,T9V 0J8,Alberta
701-4819456-4110636,Sudbury,CA,P3E 5N4,Ontario
701-3512375-3417811,Fort McMurray,CA,T9K 2H9,Alberta
702-2618173-9944255,Cottam,CA,N0R 1B0,Ontario
702-5783691-2856215,Lethbridge County,CA,T1J 5R9,Alberta
702-0684508-1671414,Tappen,CA,V0E 2X3,British Columbia
702-0693996-4066605,Tillsonburg,CA,N4G 1N5,Ontario
702-2486328-9361837,Gander,CA,A1V 1M2,Newfoundland
701-4378905-2665019,Ste. Anne,CA,R5H 1R1,Manitoba
702-9713484-2249824,Edmonton,CA,T6A 0Z7,Alberta
702-5332975-5189830,Shoal Lake,CA,R0J 1Z0,Manitoba
702-8120693-7960203,Charlottetown,CA,C1A 7N8,Prince Edward Island
702-7553718-6380267,Cloyne,CA,K0H 1K0,Ontario
701-3362771-9288259,Angus,CA,L0M 1B3,Ontario
702-3677592-2430664,Vaughan,CA,L6A0N7,Ontario
702-3146702-4786650,Calgary,CA,T2K 1Z2,Alberta
702-9963137-3181829,North Vancouver,CA,V7M 1L7,British Columbia
702-9122073-6669011,Edmonton,CA,T5N 2G2,Alberta
701-9212803-4512240,Barrie,CA,L4M 6W4,ON
701-8351280-0253032,Meaford,CA,N4L 1W7,Ontario
702-4398974-2402621,Springside,CA,S0A 3V0,Saskatchewan
701-6951195-9030615,Boucherville,CA,J4B 8V8,Quebec
702-5316250-7732225,Barrie,CA,L4N 4N8,Ontario
701-6289570-9196237,Antigonish,CA,B2G 2K1,Nova Scotia
701-8590871-1535426,Boischatel,CA,G0A 1H0,Quebec
702-3674165-4243469,Surrey,CA,V3R 8P8,British Columbia
702-4079127-7997024,Elmira,CA,N3B3H9,ON
702-4852546-9977062,Amherst,CA,B4H 4J3,Nova Scotia
702-8409941-7893812,Stellarton,CA,B0K 1S0,Nova Scotia
702-8940617-7903436,Elmsdale,CA,B2S1C9,NS
701-5066073-0569857,Campbell River,CA,V9W 7J9,British Columbia
701-0656257-4169843,Kitchener,CA,N2G 1M2,Ontario
701-1152921-1709833,Montreal,CA,H2E2P4,Qu̩bec
701-5196129-3197804,North Bay,CA,P1B 1G2,Ontario
702-7096044-2093869,Toronto,CA,M5J 2Y2,Ontario
702-6061546-1668264,Port Severn,CA,L0K 1S0,Ontario
701-6702886-8472210,Vancouver,CA,V5N 1S1,British Columbia
701-0080203-0833017,North Vancouver,CA,V7K 1S4,BC
702-0824838-0989005,Fredericton,CA,E3A 1P5,New Brunswick
701-7617836-4601035,Langley,CA,V1M 2J6,BC
702-7074586-1110668,Calgary,CA,T3K 0S8,AB
702-2418754-1636232,Cayuga,CA,N0A 1E0,Ontario
701-9573455-6446665,Whitehorse,CA,Y1A 5Y2,Yukon
702-5113603-5371408,Mermaid,CA,C1B 3E5,Prince Edward Island
702-0711550-5832256,Beeton,CA,L0G 1A0,Ontario
702-8183520-4977861,London,CA,N5V 1A6,Ontario
701-5979262-4630612,Innerkip,CA,N0J 1M0,Ontario
702-6761158-5799440,Rouyn-Noranda,CA,J9Y 0K9,Quebec
702-4966014-0569063,Edmonton,CA,T5E 4C7,Alberta
701-5339854-6685043,Oshawa,CA,L1G 7E6,Ontario
701-8212774-9847422,Wheatley,CA,N0P2P0,Ontario
701-3562766-2373034,Ucluelet,CA,V0R 3A0,BC
702-6137116-5409821,Waterville,CA,B0P 1V0,Nova Scotia
701-8667473-3937026,Lower Post,CA,V0C 1W0,BC
701-2992779-3061007,Steinbach,CA,R5G 2A8,Manitoba
701-9614622-1592200,Mill Bay,CA,V0R 2P1,British Columbia
701-8905066-1845859,Bowmanville,CA,L1C 5G1,Ontario
701-3376157-6101835,North Vancouver,CA,V7K 2L6,British Columbia
701-5407883-7697013,Port Sydney,CA,P0B 1L0,Ontario
701-2652839-2616256,Glenavon,CA,S0G 1Y0,Saskatchewan
702-3178561-2829816,Calgary,CA,T2Y 4R1,Alberta
702-0550115-9297861,Abbotsford,CA,V2T1V3,British Columbia
702-5000949-7745069,La Broquerie,CA,R0A 0W3,MB
701-8945678-4381048,St Andrews West,CA,K0C 2A0,Ontario
701-3974135-4920239,CALGARY,CA,T2Z 2R8,ALBERTA
701-7579987-4038603,Varennes,CA,J3X 1J9,Quebec
702-6338490-5019402,Kanata,CA,K2K 2J8,Ontario
701-9734295-5042627,Corbeil,CA,P0H 1K0,Ontario
702-9653489-0933811,Metcalfe,CA,K0A 2P0,Ontario
701-6083799-4369028,Toronto,CA,M4A0G5,Ontario
701-5948655-8944232,Innerkip,CA,N0J 1M0,Ontario
702-6474055-4301006,Guelph,CA,N1E 5J5,Ontario
701-5603856-0645027,Mirabel,CA,J7J 0K1,Quebec
701-7037508-9178628,Calgary,CA,T2N 0R1,Alberta
702-3023943-8809023,North Saanich,CA,V8L 5K7,British Columbia
702-6826540-7637012,Unionville,CA,L3R 1Z4,Ontario
701-8397588-4168262,Hamilton,CA,L9B 1R2,Ontario
701-9705669-9638600,Limoges,CA,K0A 2M0,Ontario
701-0646604-6381826,Yellowknife,CA,X1A2C7,Northwest Territories
702-5661957-7810608,Woodstock,CA,N4S 7W3,Ontario
702-4310765-1730658,Cloyne,CA,K0H 1K0,Ontario
701-8534587-9925819,Gore,CA,J0V 1K0,Quebec
701-9618021-9200215,Quebec,CA,G1P 3J3,Quebec
701-2418054-2387411,Abernethy,CA,S0A 0A0,Saskatchewan
702-5127868-8469040,Nisku,CA,T9E 0G6,Alberta
702-8610811-7626654,St Catharines,CA,L2S 2N3,Ontario
701-0309305-8624241,Fort McMurray,CA,T9K 1E9,AB
701-7257575-1045816,Hammonds Plains,CA,B4B 1X4,Nova Scotia
701-7382161-5815410,Oxford,CA,B0M 1P0,Nova Scotia
702-1587289-1842632,Port Au Choix,CA,A0K 4C0,Nl
701-0923881-6757816,Komarno,CA,R0C 1R0,Manitoba
702-4484595-9704243,Elmsdale,CA,B2S1C9,NS
702-7231452-2399419,Cranbrook,CA,V1C 5V7,British Columbia
701-5458601-8528264,Paradise valley,CA,T0B 3R0,Alberta
702-3639678-5956228,Alberta Beach,CA,T0E 0A0,Alberta
701-0872351-9222619,Guelph,CA,N1H 8N6,ON
701-0357752-8496202,Yellowknife,CA,X1A 3Y1,Northwest Territories
701-1295695-6969819,Scarborough,CA,M1M 3S5,ON
702-5362913-0595440,Arthur,CA,N0G 1A0,Ontario
701-6556099-3053008,Sudbury,CA,P3E 5P4,Ontario
702-1828273-4093059,Bathurst,CA,E2A 1B8,New Brunswick
702-0849046-0236224,Mont-Saint-Gregoire,CA,J0J 1K0,Quebec
701-4601512-5105812,Toronto,CA,M6N 2Z5,Ontario
702-1106378-9653866,Angus,CA,L0M 1B5,Ontario
702-6969828-0650612,Calgary,CA,T2X 0R7,Alberta
702-2792884-3948239,OTTAWA,CA,K2J 5N0,ON
702-6521113-7334603,Boileau,CA,J0V 1N0,Quebec
702-7024361-4621014,Gift Lake,CA,T0G 1B0,Alberta
701-6827031-6458640,Mississauga,CA,L5V 1M9,ON
702-7493744-5937837,Kamloops,CA,V2E 1M4,BC
701-8088835-8425869,Caledonia,CA,N3W 2K5,Ontario
702-6186011-2986647,Ingleside,CA,K0C 1M0,Ontario
702-1141211-2226655,Calgary,CA,T2P 4K9,Alberta
702-8290680-4549066,OSHAWA,CA,L1J 6G9,Ontario
702-1839929-1961007,Edmonton,CA,T5Z3E8,Alberta
701-2439517-3695406,Deep River,CA,K0J 1P0,Ontario
702-8405058-3477801,Port Rowan,CA,N0E 1M0,Ontario
701-0435267-5427451,Edmonton,CA,T5Z3E8,Alberta
702-3048169-6373044,Kebaowek,CA,J0Z 3R1,Quebec
701-8676242-4544222,Pointe-Claire,CA,H9R 4R8,Quebec
702-2477094-6938646,Quebec,CA,G3J 1S6,Quebec
702-3032026-9410647,Uxbridge,CA,L9P 0B3,Ontario
702-1562404-4103421,KINCARDINE,CA,N2Z 3B4,Ontario
701-5588510-5161064,Hastings,CA,K0L 1Y0,Ontario
701-7750257-6245019,Kingston,CA,K7M 6G1,Ontario
702-0963622-0377855,Laurier-station,CA,G0S 1N0,Quebec
702-5904787-3049009,Hinton,CA,T7V 1S8,Alberta
701-4473272-0636204,Ajax,CA,L1T 4G3,Ontario
701-1720570-3769065,Harcourt,CA,K0L 1X0,Ontario
701-4809704-6290604,Balmoral,CA,E8E 1C1,New Brunswick
702-5703796-0307405,Mallaig,CA,T0A 2K0,Alberta
702-8395025-5301826,Calgary,CA,T3G 3P2,Alberta
702-9578126-9354615,Ogema,CA,S0C1Y0,Saskatchewan
702-7795471-4376217,Trail,CA,V1R 4C5,British Columbia
701-0892071-1528230,winnipeg,CA,R2N 4N2,Manitoba
701-7795485-4221854,Mirabel,CA,J7J 0M8,Quebec
702-2085055-3063463,Gatineau,CA,J8R 3H2,Quebec
702-9912930-0256254,Devon,CA,T9G 0A1,Alberta
702-8349607-4093843,Merritt,CA,V1K 1G6,British Columbia
702-5703309-0529803,beaumont,CA,T4X1P3,Alberta
702-5333314-0008226,Waterloo,CA,N2T 2J7,Ontario
702-5586912-9511421,Calgary,CA,T2L 1Y3,Alberta
701-9607725-6305869,Kanata,CA,K2M 2K5,Ontario
701-4183148-1533053,Winnipeg,CA,R2G 2W4,Manitoba
702-1801424-9361017,Chibougamau,CA,G8P 1T4,QU
702-0531555-1985813,Val-des-Monts,CA,J8N 7H4,Quebec
702-5596646-2617040,BETHUNE,CA,S0G 0H0,SK
702-2748812-9824253,Fulda,CA,S0K1T0,Saskatchewan
702-2774360-2959417,North Bay,CA,P1B 8G4,Ontario
701-5260667-1193807,Yellowknife,CA,X1A0C6,Northwest Territories
701-0495981-9937009,Cochrane,CA,T4C0J1,Alberta
702-7257184-9347427,Fairview,CA,T0H1L0,Alberta
702-9812574-7265816,Dalhousie,CA,E8C 2P2,New Brunswick
701-2105225-8137011,Waterdown,CA,L0R 2H8,Ontario
701-8270808-6789010,Whitby,CA,L1N9R7,Ontario
701-5142820-6273006,Edmonton,CA,T6X 1G9,Alberta
702-8733477-7349861,Waterville,CA,B0P 1V0,Nova Scotia
702-4321741-4838652,Brampton,CA,L6P 2L2,ON
702-2095062-0780223,Almonte,CA,K0A 1A0,Ontario
702-2134739-3941839,mirabel,CA,J7N 1T4,quebec
701-7083035-0195464,Pointe-Claire,CA,H9R 4C2,Quebec
702-6859925-6645026,Lasalle,CA,H8R 3Y6,Quebec
701-2673676-8321067,Lumsden,CA,A0G 3E0,NL
702-2189713-3054603,Grande-Riviere,CA,G0C 1V0,Quebec
701-1524360-3437031,Fort Frances,CA,P9A 1K3,Ontario
701-3807595-7578650,Plamondon,CA,T0A 2T0,Alberta
702-9036431-5279426,Manitouwadge,CA,P0T 2C0,Ontario
702-6163042-4019409,The Pas,CA,R9A 1L5,Manitoba
701-6623899-6270655,Westbank,CA,V4T 2M5,British Columbia
701-6176243-6393824,Sainte-Anne-De-Beaupre,CA,G0A 3C0,Quebec
701-4235381-8441035,Drayton Valley,CA,T7A 1L3,Alberta
701-6884222-2671435,Pain Court,CA,N0P 1Z0,Ontario
702-9157897-7858655,Richmond,CA,J0B 2H0,Quebec
702-0945646-1284205,St-Stanislas,CA,G8L 7A7,Qu̩bec
701-1390106-6774608,Antigonish,CA,B2G 2L4,Nova Scotia
701-5747287-3797010,Air Ronge,CA,S0J 3G0,Saskatchewan
702-9678645-0198608,Saint-Lazare-De-Bellechasse,CA,G0R 3J0,Quebec
701-4805886-2204209,STRATFORD,CA,N5A 4A0,ON
701-8022006-6985044,Saint-Georges,CA,G5Y 2X2,Qu̩bec
701-4581070-1497067,Chilliwack,CA,V2P 7R3,British Columbia
702-9263986-2175436,Chilliwack,CA,V2P 6H5,BC
701-3406018-7404223,Bath,CA,K0H 1G0,Ontario
702-1192552-0697825,Medstead,CA,S0M 1W0,SK
701-7289526-9039463,Oakville,CA,L6J 0B2,Ontario
701-9986175-4747443,Dunnville,CA,N1A 2P2,Ontario
701-3111800-7065812,Kingsville,CA,N9Y 1J3,Ontario
702-1186399-9712258,Amos,CA,J9T 3A3,Quebec
702-4164820-8194636,Athabasca,CA,T9S 1B3,Alberta
701-9011010-8335437,Orangeville,CA,L9W 3M1,Ontario
702-6494724-0514632,Mission,CA,V2V 5E3,British Columbia
701-1873146-5733039,lunenburg,CA,B0J2C0,Nova Scotia
702-8555844-0585802,Grafton,CA,K0K 2G0,Ontario
701-5720707-5497869,Red Deer,CA,T4R 2T5,Alberta
701-9142794-8809812,LEAMINGTON,CA,N8H 3V8,Ontario
701-2549608-1441060,St. Albert,CA,T8N 6L2,Alberta
702-4663072-8748256,Rouyn-Noranda,CA,J0Z1Y0,QC
702-1705932-6720213,Killarney,CA,R0K1G0,Manitoba
701-6712092-9237001,longueuil,CA,J3Y 3X5,Quebec
702-1452170-0224229,Prince George,CA,V2N 5G3,British Columbia
702-5518094-2933014,Whitecourt,CA,T7S 1W7,Alberta
701-5116468-2116238,Iqaluit,CA,X0A 0H0,Nunavut
702-0740454-1960253,sexsmith,CA,T0H 3C0,Alberta
701-8397097-5972250,South nelson,CA,E1N 6C6,New Brunswick
702-3498011-3313813,Ingersoll,CA,N5C 3G8,ONTARIO
702-5071266-0481001,CALGARY,CA,T2Y 4S0,AB
702-7774336-2790650,Wheatley River,CA,C0A 1N0,Prince Edward Island
702-8002276-5719426,Guelph,CA,N1K 1E6,Ontario
701-3809662-9015416,Trail,CA,V1R 4C5,British Columbia
702-5161165-8869047,belle cote,CA,B0E 1C0,nova scotia
702-5404423-9080249,Drummondville,CA,J2C 7W9,Quebec
702-8646891-2837035,Thunder Bay,CA,P7K 1C7,Ontario
702-9560166-8066617,Saint-Alexandre-D'Iberville,CA,J0J 1S0,Quebec
701-0679186-4913800,Chalk River,CA,K0J 1J0,Ontario
702-9252929-0323462,Richibucto,CA,E4W 3V1,New Brunswick
701-2756775-7317805,Edmonton,CA,T5X 2P6,Alberta
702-0608468-4323449,Harrow,CA,N0R 1G0,ON
701-8063372-6985839,Drayton Valley,CA,T7A1S3,Alberta
701-9177423-6462606,Tweed,CA,K0K 3J0,Ontario
702-5930071-3077820,Winnipeg,CA,R2M 1N5,Manitoba
702-3657636-6964204,sudbury,CA,P3A6C1,Ontario
701-6778446-9487435,Toronto,CA,M8Z 2W2,Ontario
701-5906493-8001843,Lorrainville,CA,J0Z 2R0,Quebec
701-4472225-7651441,108 Mile Ranch Box 10189,CA,V0K 2Z0,British Columbia
701-1126424-2233069,Winnipeg,CA,R3J 1M3,MB
702-6643484-1750615,Rocky Mountain House,CA,T4T 1A4,Alberta
701-8137296-4456217,Delta,CA,K0E 1G0,ON
702-4388515-8672223,Hearst,CA,P0L 1N0,Ontario
702-9834678-6839409,Yellowknife,CA,X1A3A8,Northwest Territories
701-8825489-8964212,Cartier,CA,R4K 1A4,Manitoba
702-1496670-8638611,Toronto,CA,M5T 2L4,Ontario
701-2151724-6957058,Strathmore,CA,T1P 1Y1,Alberta
702-9223163-4260214,North York,CA,M3A 3L7,Ontario
702-7936146-2904210,Saint-Colomban,CA,J5K 1S1,Quebec
702-4780003-1877012,Brantford,CA,N3S 0C6,Ontario
702-4114313-7051409,Calgary,CA,T2X 0T9,Alberta
701-2447106-8069015,Abbotsford,CA,V4X 1A8,BC
701-6667879-8857810,Monkland,CA,K0C 1V0,Ontario
701-5287057-7291425,Regina,CA,S4N0G8,SK
702-8558068-4752240,Calgary,CA,T2K 3S3,Alberta
